Body Mass (g),Basal Metabolic Rate (W)
812.0,3184.0
2300.0,4427.0
406.0,1201.0
620.0,1695.0
79.5,299.0
94.0,388.0
138.0,439.0
60.0,317.0
75.0,377.0
267.0,894.0
195.0,645.0
88.0,0.42
32.0,114.0
11300.0,13175.0
3280.0,5123.0
11136.0,15531.0
426.0,1117.0
6784.0,10597.0
629.0,1.93
1613.0,4.05
322.0,1473.0
26385.0,36798.0
801.0,2011.0
255.0,0.98
3849.0,10521.0
2687.0,8694.0
914.0,2804.0
9156.0,15323.0
340.0,0.65
300.0,1054.0
215.0,1044.0
214.0,591.0
490.0,1.23
121.0,611.0
112.0,675.0
176.1,1023.0
193.0,949.0
173.2,957.0
152.0,729.0
118.6,642.0
135.0,596.0
71.4,0.43
498.0,1.75
323.0,1153.0
2630.0,3375.0
2456.0,4.11
775.0,1483.0
127.7,1389.0
109.0,932.0
432.0,2145.0
3000.0,9205.0
1581.0,8468.0
3004.4,6036.0
2300.0,7314.0
3025.0,11815.0
2430.0,7051.0
2000.0,6.36
672.4,2443.0
450.0,828.0
721.2,2816.0
822.7,1937.0
750.0,1883.0
400.0,848.0
57.8,335.0
450.0,606.0
20.5,336.0
10.2,188.0
10.2,125.0
33.2,248.0
10.0,145.0
11.7,166.0
11.8,138.0
38.9,326.0
17.3,173.0
10.4,128.0
6.5,105.0
14.7,123.0
6.2,107.0
13.1,373.0
17.1,305.0
4.0,74.0
7.9,269.0
8.05,336.0
3.5,176.0
9.1,0.29
4.0,172.0
9.7,292.0
5.2,157.0
2.4,0.08
30.2,332.0
49.0,615.0
11.8,259.0
48.0,378.0
61.0,425.0
61.2,358.0
130.1,607.0
37.4,265.0
241.4,971.0
73.7,415.0
404.3,2052.0
179.5,795.0
51.6,268.0
15.9,103.0
12.4,121.0
53.3,242.0
30.9,152.0
40.4,0.36
13.6,114.0
23.6,137.0
562.2,1622.0
520.8,1618.0
598.0,1768.0
194.2,705.0
254.5,753.0
362.0,1353.0
1024.3,4486.0
146.0,684.0
91.5,582.0
15.9,122.0
8.5,0.05
8.27,0.09
148.0,776.0
5.0,65.0
7.8,81.0
11.5,238.0
19.7,222.0
63.9,435.0
45.2,428.0
70.1,602.0
14.9,0.24
19.9,173.0
96.1,788.0
29.4,194.0
36.6,208.0
27.8,215.0
16.1,208.0
16.1,99.0
9.6,164.0
22.0,245.0
11.7,82.0
8.7,62.0
33.5,267.0
35.6,216.0
84.2,559.0
21.9,0.25
9.5,91.0
9.5,104.0
21.9,297.0
20.5,223.0
27.4,307.0
16.2,176.0
8.8,104.0
8.6,45.0
16.5,136.0
9.4,85.0
19.2,171.0
14.0,128.0
4.9,34.0
27.0,176.0
61.0,0.4
5.4,46.0
56.0,222.0
15.6,126.0
14.0,62.0
16.9,113.0
22.0,104.0
17.5,141.0
10.4,116.0
11.2,88.0
10.91,145.0
5.2,0.05
3.7,27.0
11.89,0.04
25.0,199.0
5.0,47.0
8.0,62.0
10.25,82.0
15910.0,6923.0
4220.0,6.23
3637.5,3727.0
